ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
15.0,Like French fries,1,0,1.156,4.0015,[2 3 1 0],Shiloh,HighReward_DisPeer,3
116.0,Like sleepovers,0,1,0.96831,2.6719,,Computer,LowReward_Computer,1
137.0,Like bright clothes,1,2,2.0634,2.3704,,Charlie,HighReward_SimPeer,5
25.0,Like Social Studies,1,1,4.6207,3.5144,,,HighReward_Computer,4
42.0,Can whistle,1,1,3.8971,2.0334,,,HighReward_Computer,4
197.0,Funny,1,2,2.2882,3.6878,,,HighReward_SimPeer,5
71.0,Like Netflix,0,0,2.0961,2.5479,,,LowReward_DisPeer,0
119.0,Like to stay at home,1,0,2.1972,4.0835,,,HighReward_DisPeer,3
194.0,A vegan,0,0,2.8986,4.9934,,,LowReward_DisPeer,0
43.0,Don't like gardening,1,2,1.4029,2.5631,,,HighReward_SimPeer,5
8.0,Like meditating,1,2,2.5677,2.6378,,,HighReward_SimPeer,5
117.0,Don't like podcasts,1,1,4.5966,3.7378,,,HighReward_Computer,4
96.0,Like history,1,1,4.4662,2.8586,,,HighReward_Computer,4
127.0,Don't like daydreaming,0,0,2.8072,4.5208,,,LowReward_DisPeer,0
171.0,Like hip hop,0,1,0.9661299999999999,2.9102,,,LowReward_Computer,1
205.0,Like basketball,1,2,1.5804,3.8937,,,HighReward_SimPeer,5
83.0,Like legos,0,2,3.2188,2.5479,,,LowReward_SimPeer,2
172.0,Like group chats,0,0,1.8156,5.2182,,,LowReward_DisPeer,0
207.0,Don't speak French,0,1,3.2502,5.9407,,,LowReward_Computer,1
104.0,Like barbeques,0,0,1.171,2.2412,,,LowReward_DisPeer,0
26.0,Don't like walks,0,0,2.6517,1.9802,,,LowReward_DisPeer,0
204.0,A vegetarian,0,2,3.9129,3.1382,,,LowReward_SimPeer,2
45.0,Don't like playing clarinet,1,2,1.1755,5.8364,,,HighReward_SimPeer,5
22.0,Like Halloween,0,1,1.3693,4.9934,,,LowReward_Computer,1
169.0,Don't like scary movies,1,0,2.3175,4.6358,,,HighReward_DisPeer,3
184.0,Like English class,1,2,2.5399,2.5665,,,HighReward_SimPeer,5
60.0,An artist,1,2,1.1411,5.2958,,,HighReward_SimPeer,5
161.0,Like shopping online,0,1,1.8407,2.0429,,,LowReward_Computer,1
140.0,Good at math,1,1,2.9304,5.2182,,,HighReward_Computer,4
58.0,Don't like hiking,1,2,4.6207,2.8586,,,HighReward_SimPeer,5
131.0,Don't like animated films,1,1,1.1098,2.0442,,,HighReward_Computer,4
13.0,Like chatting online,1,0,3.7226,3.4158,,,HighReward_DisPeer,3
1.0,An animal lover,1,2,1.2889,4.4489,,,HighReward_SimPeer,5
30.0,Loud,0,0,2.2773,4.7147,,,LowReward_DisPeer,0
76.0,Like reality TV,0,0,3.9129,3.7156,,,LowReward_DisPeer,0
39.0,Not weird,0,0,4.7647,5.2257,,,LowReward_DisPeer,0
82.0,Don't like classical music,0,2,1.7213,2.7585,,,LowReward_SimPeer,2
151.0,Don't know sign language,0,1,1.3244,2.8002,,,LowReward_Computer,1
56.0,Like camping,1,1,3.1185,2.5272,,,HighReward_Computer,4
209.0,Play video games,0,1,4.0271,2.9919,,,LowReward_Computer,1
81.0,Like action movies,1,2,1.8672,2.8435,,,HighReward_SimPeer,5
208.0,Like libraries,0,0,1.5833,4.4067,,,LowReward_DisPeer,0
102.0,Like stand-up comedy,0,2,1.2596,2.4096,,,LowReward_SimPeer,2
37.0,Like dogs,0,0,2.6258,2.2412,,,LowReward_DisPeer,0
107.0,Not a rule breaker,1,2,3.7226,5.9395,,,HighReward_SimPeer,5
50.0,Like Starbucks,1,1,1.1279,2.9102,,,HighReward_Computer,4
2.0,Not superstitious,0,0,2.1787,3.3202,,,LowReward_DisPeer,0
183.0,Like documentaries,0,1,2.6639999999999997,3.258,,,LowReward_Computer,1
118.0,Like writing stories,0,2,1.7658,2.0659,,,LowReward_SimPeer,2
188.0,Like news,0,0,3.7607,2.5799,,,LowReward_DisPeer,0
114.0,Like football,1,2,2.1057,3.5853,,,HighReward_SimPeer,5
54.0,Like video chatting,0,0,2.8345,5.4701,,,LowReward_DisPeer,0
201.0,Don't have a job,0,0,1.0759,4.4067,,,LowReward_DisPeer,0
122.0,Don't like cooking,1,1,2.0518,2.6064,,,HighReward_Computer,4
46.0,Like wildlife,1,0,1.1561,4.2019,,,HighReward_DisPeer,3
86.0,Thoughtful,1,2,4.1899,4.6338,,,HighReward_SimPeer,5
134.0,Like pop music,1,1,2.7652,2.1521,,,HighReward_Computer,4
203.0,Confident,0,0,2.1522,2.827,,,LowReward_DisPeer,0
191.0,Don't like ballet,1,2,3.0051,5.6062,,,HighReward_SimPeer,5
180.0,Like friends,1,2,2.0961,2.6064,,,HighReward_SimPeer,5
67.0,Like juice,1,2,1.9117,2.3385,,,HighReward_SimPeer,5
98.0,Don't like writing poems,1,0,2.8345,4.6885,,,HighReward_DisPeer,3
162.0,Like superhero movies,1,1,1.7280000000000002,4.5208,,,HighReward_Computer,4
41.0,Not nerdy,0,2,2.3554,2.0225,,,LowReward_SimPeer,2
77.0,Don't like cooking shows,1,1,4.1197,3.0518,,,HighReward_Computer,4
47.0,Don't like new people,0,1,1.1633,2.1505,,,LowReward_Computer,1
148.0,Like family,0,0,1.1279,4.2019,,,LowReward_DisPeer,0
66.0,Like school,0,1,4.0428,3.9772,,,LowReward_Computer,1
101.0,Like making videos,0,1,2.8018,4.0015,,,LowReward_Computer,1
177.0,Don't care about the environment,0,1,2.2295,3.2258,,,LowReward_Computer,1
145.0,Don't like bugs,1,2,3.1616,3.7522,,,HighReward_SimPeer,5
32.0,Not disorganized,0,0,3.2502,2.7743,,,LowReward_DisPeer,0
181.0,Like watching movies,0,1,0.99611,3.1062,,,LowReward_Computer,1
110.0,Like volleyball,1,2,2.8428,2.0429,,,HighReward_SimPeer,5
11.0,Speak Spanish,0,0,2.0397,2.4076,,,LowReward_DisPeer,0
55.0,Like soccer,0,2,1.915,2.2057,,,LowReward_SimPeer,2
40.0,Like concerts,0,1,2.6639999999999997,3.5144,,,LowReward_Computer,1
108.0,Like fast food,1,1,3.56,5.5052,,,HighReward_Computer,4
72.0,Like politics,1,2,1.8156,2.559,,,HighReward_SimPeer,5
17.0,Like social media,0,0,1.8224,2.3792,,,LowReward_DisPeer,0
7.0,Don't like napping,0,1,4.4597,4.1097,,,LowReward_Computer,1
199.0,Religious,0,2,1.8536,3.2673,,,LowReward_SimPeer,2
35.0,Don't like cartoons,0,0,1.3003,5.6591,,,LowReward_DisPeer,0
143.0,Like dancing,0,1,2.3554,4.1522,,,LowReward_Computer,1
189.0,Like beaches,0,0,4.0077,1.9679,,,LowReward_DisPeer,0
103.0,Like philosophy,1,1,1.4029,3.9772,,,HighReward_Computer,4
210.0,Don't like guitars,1,1,3.2533,4.6866,,,HighReward_Computer,4
80.0,Not in a book club,1,2,3.0051,2.0693,,,HighReward_SimPeer,5
175.0,Like keeping a journal,0,0,2.9304,3.0482,,,LowReward_DisPeer,0
27.0,Like science fiction,1,1,2.2871,2.6382,,,HighReward_Computer,4
94.0,Like cookies,1,2,1.5433,4.6358,,,HighReward_SimPeer,5
29.0,A reader,1,0,4.1899,5.2257,,,HighReward_DisPeer,3
152.0,Like breakfast food,1,2,3.4154,5.0194,,,HighReward_SimPeer,5
57.0,Don't like olives,1,2,2.1972,3.1496,,,HighReward_SimPeer,5
91.0,Like laser tag,1,0,1.3565,4.5043,,,HighReward_DisPeer,3
3.0,Don't like jazz,0,0,2.2701,3.1185,,,LowReward_DisPeer,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
