ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
94.0,Like cookies,1,0,2.89574938,3.3001174,[2 1 3 0],Shiloh,HighReward_DisPeer,3
180.0,Like friends,0,1,4.50954738,3.78498759,,Computer,LowReward_Computer,1
174,Like birds,1,2,4.21660991,5.2510385,,Charlie,HighReward_SimPeer,5
148.0,Like family,1,1,2.96670213,4.11625244,,,HighReward_Computer,4
25.0,Like Social Studies,1,1,2.87744482,4.90631713,,,HighReward_Computer,4
113,Like phone calls,1,2,2.16481546,2.18493623,,,HighReward_SimPeer,5
47,Like new people,0,0,3.70670778,3.27894391,,,LowReward_DisPeer,0
86.0,Thoughtful,1,0,4.30827291,4.43948955,,,HighReward_DisPeer,3
179,Like rock music,0,0,4.17352776,2.59586552,,,LowReward_DisPeer,0
194.0,Not a vegan,1,2,5.17467788,5.63903232,,,HighReward_SimPeer,5
104,Like barbeques,1,2,2.31457256,4.74747725,,,HighReward_SimPeer,5
51.0,Don't like roller coasters,1,1,3.68079601,2.44040091,,,HighReward_Computer,4
152.0,Like breakfast food,1,1,2.41152071,3.72057725,,,HighReward_Computer,4
115.0,Don't like Xbox,0,0,2.97002015,2.58073647,,,LowReward_DisPeer,0
43.0,Like gardening,0,1,3.59487236,5.32863316,,,LowReward_Computer,1
73,Like being with friends,1,2,4.06008363,4.53708523,,,HighReward_SimPeer,5
123.0,Like sushi,0,2,3.10683953,2.18326427,,,LowReward_SimPeer,2
31,Unique,0,0,4.30517123,2.27396965,,,LowReward_DisPeer,0
142.0,Don't like singing,0,1,3.25221501,2.94294743,,,LowReward_Computer,1
17,Like social media,0,0,2.59828545,2.70465329,,,LowReward_DisPeer,0
50.0,Don't like Starbucks,0,0,2.92222314,3.08456917,,,LowReward_DisPeer,0
128.0,Like gym class,0,2,4.30517123,2.63915871,,,LowReward_SimPeer,2
110.0,Don't like volleyball,1,2,4.96787029,4.55358093,,,HighReward_SimPeer,5
116.0,Like sleepovers,0,1,2.88925715,2.67102637,,,LowReward_Computer,1
81.0,Don't like action movies,0,2,2.18287147,2.01304355,,,LowReward_SimPeer,2
125,Like computer coding,0,0,4.77758825,2.8914405,,,LowReward_DisPeer,0
137,Like bright clothes,1,2,3.09472349,2.1020608,,,HighReward_SimPeer,5
197,Funny,0,0,2.2259827999999997,2.07696656,,,LowReward_DisPeer,0
136.0,Don't like computer games,0,0,5.7103379,5.2510385,,,LowReward_DisPeer,0
21.0,Like eating out,1,1,5.675675900000001,2.59924637,,,HighReward_Computer,4
80.0,Not in a book club,1,0,4.47041039,2.17051165,,,HighReward_DisPeer,3
117,Like podcasts,1,2,2.02114927,3.17104138,,,HighReward_SimPeer,5
105.0,Don't like checkers,1,1,3.37250932,5.25844965,,,HighReward_Computer,4
107,A rule breaker,0,0,2.45788803,2.83304288,,,LowReward_DisPeer,0
199.0,Not religious,1,2,3.23367388,4.6686372,,,HighReward_SimPeer,5
181,Like watching movies,1,2,5.7103379,4.53708523,,,HighReward_SimPeer,5
75,Like drawing,1,2,4.17352776,5.02618908,,,HighReward_SimPeer,5
170.0,Like cats,1,0,2.97002015,2.27396965,,,HighReward_DisPeer,3
60.0,An artist,1,1,3.8622209,3.29080807,,,HighReward_Computer,4
87.0,Like summer,0,2,4.07462175,3.08097809,,,LowReward_SimPeer,2
70.0,Like road trips,1,1,5.675675900000001,4.6686372,,,HighReward_Computer,4
157.0,Like decorating room,0,1,3.62274525,2.33254142,,,LowReward_Computer,1
66,Like school,0,0,2.63538796,3.77058908,,,LowReward_DisPeer,0
150.0,Not a good student,0,1,3.14557806,4.18499017,,,LowReward_Computer,1
127.0,Like daydreaming,0,1,3.34321393,5.05217585,,,LowReward_Computer,1
147.0,Like texting,0,1,2.78302938,4.72127217,,,LowReward_Computer,1
106.0,Don't like homework,1,2,2.82085991,2.26130179,,,HighReward_SimPeer,5
210.0,Don't like guitars,0,0,3.88952643,2.63915871,,,LowReward_DisPeer,0
27.0,Like science fiction,1,0,3.88952643,2.70465329,,,HighReward_DisPeer,3
183,Like documentaries,1,2,3.16073762,3.13894615,,,HighReward_SimPeer,5
89,Stand up for others,1,2,2.21104358,2.40319659,,,HighReward_SimPeer,5
151.0,Don't know sign language,0,1,2.35528871,2.44236417,,,LowReward_Computer,1
93.0,Don't like riding horses,1,1,3.23367388,5.02618908,,,HighReward_Computer,4
169.0,Don't like scary movies,1,2,2.63828777,2.23847502,,,HighReward_SimPeer,5
202.0,Like football,1,1,5.81972697,2.06623717,,,HighReward_Computer,4
184.0,Don't like English class,1,0,2.02333141,2.61273908,,,HighReward_DisPeer,3
24,Like parties,1,2,3.25221501,2.06785812,,,HighReward_SimPeer,5
63,Like watching TV,0,0,4.55889033,4.119203700000001,,,LowReward_DisPeer,0
164,Close with family,0,0,2.90862819,4.23469258,,,LowReward_DisPeer,0
65.0,Don't like watching sunsets,0,0,2.87061115,2.07569032,,,LowReward_DisPeer,0
203.0,Confident,0,2,5.17467788,3.54719571,,,LowReward_SimPeer,2
103.0,Like philosophy,0,1,2.13090185,2.7912828999999997,,,LowReward_Computer,1
114.0,Like football,1,1,3.41043318,4.03426325,,,HighReward_Computer,4
172.0,Like group chats,0,1,5.52117041,5.04715685,,,LowReward_Computer,1
109,Like travel,1,2,3.15107181,5.25844965,,,HighReward_SimPeer,5
189,Like beaches,0,0,3.95359469,3.02473198,,,LowReward_DisPeer,0
158.0,Don't like watching Youtube,0,2,3.98542573,3.39866865,,,LowReward_SimPeer,2
62,A runner,0,0,3.71897472,5.28319978,,,LowReward_DisPeer,0
191.0,Don't like ballet,1,2,5.06270638,2.05526199,,,HighReward_SimPeer,5
186.0,Not shy,1,1,3.28456772,4.71938732,,,HighReward_Computer,4
175.0,Don't like keeping a journal,0,0,5.24492236,5.63903232,,,LowReward_DisPeer,0
77.0,Don't like cooking shows,0,1,2.84837858,2.5917946,,,LowReward_Computer,1
140.0,Good at math,0,1,2.05113024,3.35300733,,,LowReward_Computer,1
108,Like fast food,1,2,4.53116207,5.50292284,,,HighReward_SimPeer,5
32,Disorganized,0,0,3.11839839,4.6665532999999995,,,LowReward_DisPeer,0
42.0,Can whistle,0,2,5.65166483,3.44856076,,,LowReward_SimPeer,2
3.0,Like jazz,0,1,5.09778164,2.77091905,,,LowReward_Computer,1
187.0,Like eating healthy,1,1,2.19615082,2.37126377,,,HighReward_Computer,4
200,Like kids at school,1,2,4.95213315,5.9734947,,,HighReward_SimPeer,5
201,Have a job,0,0,3.82019733,5.69189423,,,LowReward_DisPeer,0
204.0,Not a vegetarian,0,1,2.87061115,2.18493623,,,LowReward_Computer,1
173.0,An activist,0,2,4.61501288,2.56000528,,,LowReward_SimPeer,2
198.0,Don't like magazines,0,0,5.24492236,2.94294743,,,LowReward_DisPeer,0
36.0,Like volunteering,0,1,3.33229666,2.97550552,,,LowReward_Computer,1
188,Like news,0,0,2.77628335,4.14247651,,,LowReward_DisPeer,0
13.0,Like chatting online,1,1,2.37941659,4.23469258,,,HighReward_Computer,4
162.0,Don't like superhero movies,1,1,2.37376117,3.15125435,,,HighReward_Computer,4
161.0,Don't like shopping online,1,2,3.3251220999999997,2.09864808,,,HighReward_SimPeer,5
96,Like history,0,0,3.2072655,2.00073031,,,LowReward_DisPeer,0
53.0,Like mountains,1,1,3.59675378,3.67911175,,,HighReward_Computer,4
41,Nerdy,1,2,3.49133083,4.03426325,,,HighReward_SimPeer,5
1.0,An animal lover,1,0,3.89786081,3.74844444,,,HighReward_DisPeer,3
28,Like vacations,1,2,3.15107181,2.8914405,,,HighReward_SimPeer,5
112.0,Don't like watching sports,1,2,2.16481546,4.119203700000001,,,HighReward_SimPeer,5
124.0,Like sleeping in,1,0,4.815747099999999,4.48172236,,,HighReward_DisPeer,3
211.0,Don't like candy,0,0,2.23052651,2.87625004,,,LowReward_DisPeer,0
,,,,2.2259827999999997,2.83304288,,,,
,,,,2.18287147,4.43948955,,,,
,,,,4.06008363,4.00998361,,,,
,,,,4.96787029,2.67061368,,,,
,,,,3.98542573,2.58073647,,,,
,,,,2.21112071,2.85974911,,,,
,,,,2.4937386000000004,5.97226471,,,,
,,,,2.45788803,2.07569032,,,,
,,,,4.77758825,4.55358093,,,,
,,,,3.41043318,3.54719571,,,,
,,,,2.07344949,2.80712023,,,,
,,,,2.74641674,3.92646868,,,,
,,,,5.41466813,5.53797127,,,,
,,,,5.08216659,5.91210767,,,,
,,,,2.90862819,2.59586552,,,,
,,,,4.30827291,4.00998361,,,,
,,,,3.85682004,3.25862118,,,,
,,,,3.71897472,2.67061368,,,,
,,,,2.218327,3.18239803,,,,
,,,,2.42435333,2.92967945,,,,
,,,,3.34209727,2.46178537,,,,
,,,,2.34388672,5.86917418,,,,
,,,,4.27381241,2.41198462,,,,
,,,,5.51467427,3.61811304,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
